idmunici;ccdd;ccpp;ccdi;Departamento;Provincia;Distrito;Tipomuni;VFI_P69;P69_1;P69_1_T;P69_1_M;P69_1_H;P69_2;P69_2_T;P69_2_M;P69_2_H;VFI_P70;P70_1;P70A_1_1;P70A_1_2;P70A_1_3;P70_2;P70A_2_1;P70A_2_2;P70A_2_3;P70_3;P70A_3_1;P70A_3_2;P70A_3_3;P70_4;P70A_4_1;P70A_4_2;P70A_4_3;P70_5;P70A_5_1;P70A_5_2;P70A_5_3;P70A_5_O;P70_6;P70A_6_1;P70A_6_2;P70A_6_3;P70_7;P70A_7_1;P70A_7_2;P70A_7_3;P70_8;P70A_8_1;P70A_8_2;P70A_8_3;P70A_8_O;P70_9;P70A_9_1;P70A_9_2;P70A_9_3;P70_10;P70A_10_1;P70A_10_2;P70A_10_3;P70_11;P70A_11_1;P70A_11_2;P70A_11_3;P70A_11_O;P70_12;P70A_12_1;P70_13;P70A_13_1;P70_14;P70A_14_1;P70_15;P70A_15_1;P70_16;P70A_16_1;P70A_16_O;VFI_P71;P71;P71_1;P71A_1;P71_2;P71A_2;P71_3;P71A_3;P71_4;P71A_4;P71_5;P71A_5;P71_6;P71A_6;P71_7;P71A_7;P71_8;P71A_8;P71_9;P71A_9;P71_10;P71A_10;P71_11;P71A_11;P71_12;P71A_12;P71A_12_O;VFI_P72A;P72A;P72A_1;P72A_2;VFI_P72B;P72B;P72B_1;VFI_P73;P73_1;P73_2;P73_3;P73_4;P73_4_O;VFI_P74;P74;VFI_P75;P75;VFI_P76;P76_1;P76A_1;P76_2;P76A_2;P76_3;P76A_3;P76_4;P76A_4;P76_5;P76A_5;P76_6;P76_7;VFI_P77;P77_1;P77_2;P77_3;P77_4;VFI_P78;P78_1;P78_2;P78_3;P78_4;P78_4_O;P78_5;VFI_P79;P79_1;P79A_1_1;P79A_1_2;P79_2;P79A_2_1;P79A_2_2;P79_3;P79A_3_1;P79A_3_2;P79_4;P79A_4_1;P79A_4_2;P79_5;P79A_5_1;P79A_5_2;P79A_5_O;VFI_P80;P80_1;P80_2;P80_3;P80_4;P80_5;P80_6;P80_7;P80_8;P80_9;P80_9_O;P80_10
010101;01;01;01;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;1;1;1;23;4;19;1;23;4;19;1;1;1;1;0;1;7;7;0;2; ; ; ;2; ; ; ;2; ; ; ; ;1;10;10;0;1;10;10;0;2; ; ; ; ;2; ; ; ;1;1;1;0;2; ; ; ; ;1;27;2; ;1;27;2; ;2; ; ;1;1;2; ;1;2;1;2;2; ;1;1;1;42;1;1;1;2;1;22;1;158;2; ;2; ; ;1;1;3;3;1;1;3;1;1;2;0;0; ;1;1;1;1;1;1;12;1;4;1;10;1;4;2; ;1;1;1;1;0;0;0;1;1;2;3;0; ;0;1;1;0;4;2; ; ;2; ; ;2; ; ;2; ; ; ;1;0;0;0;4;5;6;0;0;0; ;0
010102;01;01;02;AMAZONAS;CHACHAPOYAS;ASUNCION;2;1;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;1;4;1;10;1;3;1;4;1;1;2; ;0; ; ; ;4; ; ; ; ; ; ; ;1;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ; ;1; ; ; ; ; ; ; ; ; ; ;10
010103;01;01;03;AMAZONAS;CHACHAPOYAS;BALSAS;2;1;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;0; ; ; ; ; ; ; ; ; ; ; ; ;0; ; ; ;4; ; ; ; ; ; ; ;1;2; ; ;2; ; ;1;1;1;2; ; ;2; ; ; ;1; ; ; ; ; ; ; ; ; ; ;10
010104;01;01;04;AMAZONAS;CHACHAPOYAS;CHETO;2;1;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;1;12;2; ;2; ;2; ;2; ;2; ;1;1;0;0;0;1;1;2;0;0; ;0;1;1;1;0;1;1;0;2; ; ;2; ; ;2; ; ; ;1;0;0;3;4;0;6;0;0;0; ;0
010105;01;01;05;AMAZONAS;CHACHAPOYAS;CHILIQUIN;2;1;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;1;8;2; ;2; ;1;4;2; ;1;2;1;1;0;0;0;1;1;2;0;0; ;0;1;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ; ;1;1;0;3;0;0;0;0;0;0; ;0
010106;01;01;06;AMAZONAS;CHACHAPOYAS;CHUQUIBAMBA;2;1;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;1;2;2; ;2; ;1;3;2; ;2; ;1;1;0;0;0;1;0;2;0;0; ;0;1;2; ; ;2; ; ;1;2;0;2; ; ;2; ; ; ;1; ; ; ; ; ; ; ; ; ; ;10
010107;01;01;07;AMAZONAS;CHACHAPOYAS;GRANADA;2;1;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;1;6;2; ;2; ;2; ;2; ;2; ;1;0;0;3;0;0; ; ; ; ; ;5;1;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ; ;1;0;0;3;0;0;6;0;0;0; ;0
010108;01;01;08;AMAZONAS;CHACHAPOYAS;HUANCAS;2;1;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;1;2;2; ;2; ;2; ;2; ;2; ;1;1;0;0;0;1;1;0;3;0; ;0;1;2; ; ;1;1;0;2; ; ;2; ; ;2; ; ; ;1;0;0;0;4;0;0;0;0;0; ;0
010109;01;01;09;AMAZONAS;CHACHAPOYAS;LA JALCA;2;1;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;1;8;2; ;2; ;1;5;2; ;2; ;1;1;0;0;0;1;1;2;0;0; ;0;1;2; ; ;1;0;8;1;0;2;2; ; ;2; ; ; ;1;0;0;3;4;0;0;0;0;0; ;0
010110;01;01;10;AMAZONAS;CHACHAPOYAS;LEIMEBAMBA;2;1;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;1;5;2; ;2; ;1;4;2; ;2; ;1;1;0;0;0;1;1;2;3;0; ;0;1;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ; ;1;0;0;0;0;0;6;0;0;0; ;0
